scenario,day,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
0,1,4.4470882,4.376817,4.309526,4.325208,4.287555,4.188347,4.2321424,4.2420926,4.3611145,4.504579,4.558282,4.84955,4.803611
0,2,4.472721,4.3989515,4.328279,4.3414755,4.300076,4.196954,4.2443666,4.256081,4.377966,4.5217543,4.572966,4.8585377,4.8173366
0,3,4.4922757,4.413061,4.3375335,4.3465433,4.296424,4.1706867,4.2033377,4.2195177,4.361232,4.5190024,4.5816436,4.881345,4.836494
0,4,4.5693083,4.4902716,4.414917,4.424146,4.3736615,4.2447796,4.2818885,4.301453,4.4466124,4.5996757,4.653774,4.9347334,4.886132
0,5,4.6475496,4.568707,4.493211,4.505563,4.461231,4.3548636,4.4136543,4.431888,4.5585303,4.7004757,4.7391505,5.017548,4.9580755
0,6,4.5430126,4.4839945,4.427376,4.450408,4.424631,4.3407664,4.3869977,4.394367,4.5026803,4.6343584,4.6814747,4.956322,4.904446
0,7,4.5213194,4.455119,4.3914495,4.4120355,4.3827853,4.3040824,4.369994,4.381954,4.4881744,4.617245,4.652256,4.9233027,4.8663383
0,8,4.493047,4.4331336,4.3753643,4.3996196,4.377166,4.3100443,4.3791275,4.3890142,4.4879065,4.6110697,4.644724,4.908631,4.855501
0,9,4.370049,4.3068285,4.2459607,4.268313,4.242411,4.1694736,4.2314982,4.23874,4.3369584,4.464086,4.501485,4.7781644,4.7221837
0,10,4.3227854,4.253201,4.186339,4.204082,4.1710663,4.0883613,4.1353936,4.1364093,4.233641,4.37171,4.422975,4.7308125,4.6802754
1,1,4.43916,4.3612576,4.2863336,4.301552,4.264133,4.183587,4.2496324,4.2569013,4.3551903,4.492413,4.5310845,4.8382735,4.775474
1,2,4.340487,4.265117,4.192476,4.2098947,4.176415,4.104256,4.1717772,4.1738043,4.258726,4.3878126,4.4198837,4.7222276,4.6557536
1,3,4.375862,4.292123,4.2112474,4.224579,4.1857414,4.1172476,4.202133,4.2064157,4.287402,4.414366,4.436655,4.735574,4.6729746
1,4,4.336955,4.265311,4.1959968,4.2162266,4.1887226,4.132575,4.214279,4.216375,4.2920413,4.4126296,4.4368987,4.7267632,4.664599
1,5,4.4241185,4.351058,4.2802997,4.2993326,4.270525,4.2156954,4.312148,4.321842,4.405593,4.5244102,4.5423517,4.813223,4.7590957
1,6,4.477122,4.407676,4.34021,4.363925,4.3430095,4.3070736,4.4179535,4.4280634,4.500737,4.6124964,4.621811,4.8935547,4.8269043
1,7,4.470785,4.406538,4.344234,4.3683667,4.3477488,4.30135,4.398095,4.4090943,4.493382,4.608731,4.628042,4.8903093,4.8359575
1,8,4.4851613,4.4193664,4.355358,4.379733,4.360553,4.325198,4.4384117,4.4509144,4.5280914,4.637203,4.6463013,4.9000974,4.845846
1,9,4.4803953,4.4008083,4.323636,4.340094,4.3084445,4.261285,4.3688154,4.377755,4.4546356,4.576,4.592987,4.8811965,4.827952
1,10,4.4879255,4.4209647,4.3558526,4.381588,4.363652,4.331711,4.448569,4.461399,4.5347056,4.6425095,4.646381,4.9073644,4.836587
2,1,4.455347,4.38163,4.3109913,4.326175,4.2870245,4.188806,4.2514954,4.2709985,4.3973646,4.537222,4.5770106,4.85004,4.7949324
2,2,4.5097947,4.4354224,4.3642507,4.380735,4.342035,4.241484,4.2996607,4.31737,4.439999,4.578473,4.6140285,4.8936963,4.8193846
2,3,4.553713,4.4799814,4.4093537,4.426772,4.389779,4.293894,4.3545275,4.37063,4.487705,4.623148,4.6556683,4.934949,4.858109
2,4,4.5596404,4.486097,4.4157834,4.4338946,4.396714,4.295993,4.3519316,4.369173,4.490081,4.627342,4.660261,4.942895,4.855766
2,5,4.624364,4.5524864,4.4835496,4.503898,4.4710474,4.383261,4.45513,4.4737306,4.586303,4.7138906,4.734121,5.000848,4.911008
2,6,4.668017,4.60362,4.541802,4.5659013,4.5395956,4.4587955,4.5238996,4.5372305,4.6418204,4.7645907,4.7875376,5.0506525,4.9648166
2,7,4.5880356,4.5188127,4.45233,4.4729476,4.44175,4.357131,4.4230347,4.4357677,4.540928,4.666556,4.691136,4.958291,4.8804307
2,8,4.556452,4.4871573,4.4208207,4.4402943,4.4057007,4.3064184,4.3674808,4.3867807,4.5087633,4.637671,4.6628437,4.9155416,4.837041
2,9,4.5025964,4.4363537,4.372967,4.393769,4.361459,4.263275,4.3145714,4.328674,4.4455037,4.574888,4.6060357,4.867183,4.7901897
2,10,4.5280323,4.4630566,4.4009237,4.4216595,4.389385,4.2888556,4.3310995,4.3414855,4.456632,4.5878887,4.6250772,4.8926873,4.819754
3,1,4.424045,4.349989,4.279243,4.293688,4.2527113,4.146887,4.1936345,4.2107334,4.342484,4.4933767,4.548695,4.848438,4.792137
3,2,4.402586,4.3298607,4.2603755,4.2747903,4.2341557,4.1278615,4.171935,4.187756,4.3191204,4.469506,4.526754,4.8233614,4.773242
3,3,4.437894,4.364552,4.294473,4.3088765,4.26792,4.1608777,4.203837,4.2182765,4.3468885,4.4957013,4.5505266,4.8469377,4.7927766
3,4,4.4692097,4.3934436,4.321044,4.334223,4.2915683,4.1847715,4.230382,4.2462354,4.377021,4.529543,4.586892,4.891467,4.838471
3,5,4.594955,4.5154862,4.4395914,4.4502683,4.403629,4.291549,4.333624,4.3490915,4.482665,4.6405487,4.7027717,5.0182185,4.967608
3,6,4.614567,4.536399,4.4617944,4.4742007,4.4294453,4.3180227,4.3585677,4.373514,4.5049796,4.660907,4.7201915,5.0362906,4.974888
3,7,4.63326,4.556231,4.4827614,4.4941,4.4475384,4.328826,4.376306,4.4004965,4.5484433,4.7036223,4.7595043,5.0461454,4.9966097
3,8,4.6299696,4.5614552,4.496271,4.5116415,4.4707875,4.3510437,4.39124,4.4172087,4.571679,4.725284,4.784637,5.058578,5.009649
3,9,4.6098704,4.563784,4.5202794,4.5473237,4.523721,4.409835,4.4391804,4.468759,4.6322007,4.776376,4.837973,5.0754046,5.024741
3,10,4.6326756,4.5857544,4.5411468,4.5671096,4.5443964,4.4429,4.486332,4.51483,4.6698294,4.8092756,4.867253,5.096933,5.064201
4,1,4.3669615,4.297341,4.2304826,4.246717,4.210886,4.119565,4.1798153,4.1940355,4.3120246,4.44801,4.4908023,4.7594857,4.719078
4,2,4.363463,4.2929597,4.2253366,4.2392087,4.199747,4.099342,4.154482,4.170574,4.2978296,4.4380407,4.4865007,4.750294,4.721817
4,3,4.347749,4.27699,4.2091775,4.2219987,4.1811,4.0771794,4.1258307,4.1405773,4.2702603,4.4149394,4.4707694,4.742657,4.720294
4,4,4.3401437,4.274399,4.2114162,4.227279,4.1912737,4.0922995,4.131816,4.141211,4.2639575,4.40829,4.4699636,4.752575,4.727481
4,5,4.352225,4.286068,4.222554,4.2393627,4.20554,4.116122,4.162668,4.1700616,4.2836547,4.424761,4.4824514,4.769926,4.741386
4,6,4.3609843,4.2975783,4.2365046,4.2558527,4.2267647,4.148937,4.205716,4.2118454,4.3150086,4.4463286,4.4934745,4.7671847,4.736396
4,7,4.364827,4.2970047,4.231711,4.2483406,4.214546,4.129862,4.1883817,4.196152,4.302538,4.4341373,4.47735,4.745748,4.71474
4,8,4.4763675,4.412082,4.3502345,4.3693147,4.3385415,4.2538323,4.311595,4.320941,4.4291234,4.5575724,4.59734,4.856439,4.818189
4,9,4.4696794,4.40223,4.3374386,4.354403,4.319671,4.2268963,4.277482,4.2852764,4.3952427,4.5272536,4.569889,4.836472,4.7964005
4,10,4.4201636,4.365197,4.3123837,4.3376703,4.316191,4.2389374,4.2728047,4.2687817,4.3600473,4.488143,4.5398035,4.8274875,4.776141
5,1,4.3958435,4.333173,4.273196,4.2938075,4.2631736,4.168594,4.2124615,4.223816,4.3426056,4.4794273,4.528085,4.803536,4.7493944
5,2,4.338016,4.267658,4.2001987,4.217189,4.180715,4.0842137,4.1545234,4.178572,4.3087497,4.442231,4.4737115,4.7221828,4.667652
5,3,4.205767,4.124582,4.047285,4.0557265,4.0032744,3.8703856,3.9064093,3.928836,4.080597,4.2394705,4.29732,4.588757,4.5347195
5,4,4.3127413,4.240223,4.170876,4.1858673,4.14581,4.040508,4.0946646,4.114902,4.2483554,4.392488,4.4387,4.7141104,4.6607404
5,5,4.292316,4.2169175,4.144719,4.1588154,4.117575,4.0149083,4.0725045,4.090362,4.21665,4.3583794,4.400001,4.678505,4.6217217
5,6,4.2753825,4.2050757,4.13778,4.156133,4.120701,4.023412,4.0840964,4.1039357,4.229195,4.365512,4.4008203,4.669871,4.6001325
5,7,4.3602247,4.2968307,4.236342,4.2584815,4.227579,4.1266775,4.183681,4.2090926,4.345899,4.4815636,4.5172696,4.771591,4.6954904
5,8,4.445794,4.3766403,4.310749,4.330478,4.2940083,4.1809664,4.217368,4.230999,4.3545156,4.490577,4.5260444,4.802089,4.7079654
5,9,4.407429,4.347439,4.290178,4.316875,4.2916822,4.1968,4.248408,4.265717,4.3837132,4.5079365,4.5314474,4.7851815,4.6826415
5,10,4.3586407,4.294138,4.23254,4.256666,4.2275176,4.1296763,4.1839066,4.2020674,4.321462,4.4481554,4.4712663,4.729243,4.6280537
6,1,4.416069,4.3402157,4.2675476,4.28147,4.2400293,4.1375756,4.1910872,4.204612,4.324182,4.464141,4.505187,4.787376,4.7292233
6,2,4.525726,4.4490604,4.3757296,4.388249,4.3439193,4.2324805,4.2851706,4.3038387,4.435469,4.5783887,4.620421,4.8930764,4.838173
6,3,4.5406427,4.467042,4.396537,4.4122577,4.373158,4.2723866,4.3313165,4.348485,4.470902,4.6071553,4.6422815,4.9113827,4.8482757
6,4,4.521784,4.446556,4.3746185,4.3878508,4.344532,4.2323937,4.2729273,4.2837996,4.405967,4.5477657,4.593198,4.8757405,4.818237
6,5,4.49124,4.4144015,4.340888,4.353334,4.3088083,4.196687,4.2460723,4.261669,4.3886337,4.529547,4.5701942,4.8430142,4.786564
6,6,4.357269,4.281701,4.2095456,4.223332,4.179776,4.0641313,4.100344,4.111358,4.235113,4.3786273,4.424437,4.713218,4.64522
6,7,4.362069,4.2882376,4.2175317,4.233749,4.194887,4.0930243,4.141165,4.150632,4.2622876,4.397013,4.432721,4.7140455,4.641866
6,8,4.3521175,4.275466,4.202179,4.2172103,4.17519,4.065153,4.1072717,4.1163387,4.2301817,4.367093,4.402333,4.688951,4.6072593
6,9,4.3518224,4.2781744,4.2076445,4.22399,4.1851573,4.0826726,4.132719,4.1435776,4.256739,4.3901696,4.42343,4.698821,4.625927
6,10,4.362863,4.2877502,4.2158375,4.2357926,4.2007346,4.107003,4.165255,4.1767373,4.2808332,4.410458,4.4319124,4.7212257,4.612236
7,1,4.425789,4.3476973,4.2731457,4.283274,4.234959,4.112677,4.1466265,4.1594524,4.2921596,4.4424987,4.4973493,4.787534,4.738918
7,2,4.43632,4.3588777,4.2849793,4.293458,4.243163,4.1147666,4.133785,4.139862,4.269702,4.4226904,4.487085,4.7838063,4.748202
7,3,4.453738,4.3816276,4.312876,4.3245897,4.2792125,4.154757,4.1693726,4.1741104,4.302269,4.4539857,4.5209966,4.818601,4.7798085
7,4,4.4768295,4.41021,4.3467455,4.364221,4.3270636,4.2143106,4.2300215,4.2335086,4.3539557,4.5024085,4.5668526,4.874736,4.8148656
7,5,4.46319,4.4010744,4.341898,4.3625383,4.3299985,4.2217417,4.240827,4.2454042,4.363893,4.5057297,4.5633464,4.8564496,4.7907715
7,6,4.47995,4.4290214,4.380052,4.4098105,4.3941092,4.3236933,4.3719444,4.3749804,4.468018,4.5865054,4.621974,4.885147,4.815698
7,7,4.4851813,4.4410353,4.3986855,4.4345756,4.426863,4.3628306,4.4125395,4.4190025,4.5134373,4.6287646,4.660052,4.921408,4.829664
7,8,4.442759,4.3968444,4.3528085,4.3866405,4.3763223,4.3090525,4.3481793,4.3485365,4.438586,4.558258,4.5984535,4.8756413,4.7919354
7,9,4.52765,4.4805083,4.4353137,4.468363,4.4563603,4.3853016,4.4277844,4.431317,4.5259485,4.6444106,4.6801863,4.946914,4.862229
7,10,4.5380764,4.488775,4.441359,4.4734707,4.460995,4.395554,4.44136,4.4406877,4.5252,4.6409926,4.674308,4.945666,4.8639297
8,1,4.4144106,4.3460083,4.2804875,4.298586,4.2644763,4.171765,4.2200193,4.230687,4.346547,4.487643,4.537884,4.8306046,4.7753797
8,2,4.416248,4.3484254,4.2835674,4.301409,4.266383,4.1678925,4.206516,4.215343,4.3333826,4.4775424,4.533242,4.8317804,4.7764344
8,3,4.419195,4.3522377,4.288265,4.3052564,4.2686334,4.162535,4.1907434,4.196323,4.314607,4.458174,4.5161996,4.8093686,4.75918
8,4,4.3997836,4.3307023,4.264618,4.2798095,4.240682,4.132546,4.168728,4.1776986,4.2993417,4.439888,4.491404,4.7675962,4.7239347
8,5,4.398004,4.3378553,4.2802052,4.2997303,4.2692423,4.174269,4.192557,4.18562,4.284426,4.4210715,4.48408,4.778944,4.7439356
8,6,4.409461,4.3481193,4.2894096,4.307451,4.274041,4.1708345,4.186159,4.181383,4.2871866,4.4253664,4.488615,4.776571,4.7436957
8,7,4.4452515,4.383708,4.324846,4.3422813,4.3078074,4.2011595,4.2103395,4.203432,4.308963,4.448704,4.5152383,4.807237,4.7759356
8,8,4.4458003,4.388177,4.333012,4.3514314,4.319556,4.2160883,4.220264,4.209509,4.310938,4.449062,4.520202,4.809724,4.789907
8,9,4.4269238,4.36587,4.307433,4.324033,4.2890244,4.182105,4.1903496,4.1826077,4.2884526,4.428354,4.497483,4.785937,4.765183
8,10,4.4450502,4.380682,4.3190527,4.3337874,4.2958717,4.1866336,4.196345,4.1885943,4.2942963,4.4351387,4.5030656,4.79358,4.773253
9,1,4.4616733,4.388102,4.3177323,4.3341317,4.2957635,4.1959505,4.2523537,4.2708573,4.397241,4.5405493,4.5836205,4.8718495,4.8035154
9,2,4.458137,4.387308,4.3195353,4.3376136,4.302111,4.205976,4.2563787,4.2694764,4.38739,4.5281115,4.5725317,4.86536,4.795596
9,3,4.509333,4.4444876,4.3825474,4.403416,4.3717217,4.273716,4.3163133,4.3292575,4.450338,4.589672,4.636762,4.9217563,4.851448
9,4,4.393179,4.329116,4.2680182,4.2883673,4.2553267,4.1497045,4.179947,4.1891446,4.3101673,4.450445,4.5015483,4.787751,4.718769
9,5,4.4450264,4.381124,4.320375,4.341707,4.308285,4.1953087,4.218532,4.2292023,4.3554335,4.4979744,4.54906,4.8395596,4.7549434
9,6,4.4383307,4.3794737,4.32372,4.3494515,4.321178,4.2083583,4.2206306,4.2283254,4.351033,4.492298,4.5440836,4.8430552,4.738037
9,7,4.404386,4.3473525,4.29328,4.3188233,4.2914653,4.1814594,4.1936455,4.200449,4.3230033,4.4648027,4.52117,4.8182034,4.72663
9,8,4.3377523,4.282595,4.2305155,4.2553515,4.225727,4.101576,4.100336,4.1078076,4.24039,4.3843703,4.4451594,4.7320967,4.644213
9,9,4.355363,4.2978067,4.2434583,4.266198,4.2331395,4.1030173,4.1034927,4.114143,4.2535763,4.3992767,4.459493,4.7396736,4.6565094
9,10,4.3943753,4.336506,4.2816997,4.30634,4.277127,4.161608,4.167652,4.1731954,4.29716,4.4406505,4.499244,4.798649,4.7068152
10,1,4.4286013,4.358213,4.290935,4.310211,4.275561,4.1780252,4.226244,4.239507,4.3573217,4.497495,4.539742,4.834692,4.7535863
10,2,4.382906,4.3112693,4.242855,4.2600837,4.222206,4.117214,4.1609907,4.1750636,4.2989526,4.4421563,4.4882126,4.780279,4.7072797
10,3,4.405227,4.339116,4.2760806,4.2964034,4.262779,4.157988,4.1943026,4.207029,4.3309026,4.472484,4.5206537,4.8099623,4.7326884
10,4,4.482521,4.4099226,4.340749,4.356888,4.3160415,4.1997433,4.2305665,4.2423954,4.3693204,4.5152593,4.5646963,4.860613,4.7830772
10,5,4.468008,4.397415,4.330097,4.346579,4.306856,4.1919303,4.2236643,4.2349277,4.360619,4.5031567,4.550993,4.8357496,4.7656713
10,6,4.4508843,4.3823066,4.317017,4.333893,4.294346,4.1744614,4.1971574,4.207062,4.3353977,4.4796724,4.532225,4.8179126,4.749022
10,7,4.452305,4.3792224,4.309663,4.324549,4.2809987,4.1555405,4.18576,4.20166,4.337945,4.48338,4.5299325,4.8090787,4.734307
10,8,4.458776,4.3782907,4.301887,4.3107266,4.2564716,4.1087937,4.123363,4.1394463,4.2887096,4.4459724,4.503172,4.795466,4.7255764
10,9,4.5113664,4.440476,4.373232,4.3870354,4.341292,4.202362,4.204888,4.2127123,4.350481,4.5031323,4.5664096,4.8613405,4.7945623
10,10,4.5475907,4.4707065,4.3977804,4.4085193,4.357069,4.2098684,4.2134995,4.2234635,4.3655334,4.520784,4.580951,4.8778567,4.8054514
11,1,4.4813986,4.4083905,4.338485,4.353141,4.313092,4.2096195,4.2532983,4.262588,4.379612,4.52045,4.5678105,4.8546944,4.8013587
11,2,4.47985,4.4056954,4.3347416,4.3486447,4.307169,4.2006745,4.240564,4.249124,4.367229,4.5107203,4.560994,4.854385,4.8001814
11,3,4.510477,4.4319763,4.3568954,4.3678126,4.321578,4.2087483,4.2463145,4.254905,4.3761096,4.5239406,4.577126,4.877153,4.826146
11,4,4.4924955,4.4196434,4.349896,4.3662405,4.3280826,4.227816,4.274108,4.283534,4.3970437,4.5355897,4.5779448,4.86757,4.800641
11,5,4.504316,4.434653,4.3680925,4.386309,4.3505535,4.2493625,4.285751,4.2934165,4.40836,4.5511265,4.6018343,4.904723,4.83352
11,6,4.6149144,4.549566,4.4870343,4.5083346,4.4778123,4.3858385,4.432976,4.443895,4.5575542,4.693578,4.7367167,5.0227847,4.9505434
11,7,4.616818,4.548161,4.482602,4.5017624,4.4667463,4.364401,4.411478,4.4279337,4.5536947,4.694204,4.7373586,5.020106,4.9450817
11,8,4.585546,4.5156093,4.4489584,4.466691,4.4285235,4.3166647,4.3630624,4.385203,4.523849,4.668055,4.712174,4.98729,4.913119
11,9,4.6344013,4.5503006,4.470267,4.479798,4.4279613,4.2990522,4.335617,4.356572,4.5023804,4.664057,4.720976,5.0371585,4.96097
11,10,4.6037564,4.5242586,4.4481726,4.4626255,4.4207745,4.321262,4.39304,4.418544,4.5500646,4.693851,4.728159,5.0129933,4.9369035
12,1,4.496386,4.4235487,4.353875,4.36952,4.3305445,4.2286615,4.274873,4.2874236,4.4088197,4.5530667,4.6023407,4.896989,4.8367867
12,2,4.382925,4.305012,4.230554,4.2429104,4.1981354,4.0862937,4.1253953,4.1359406,4.258621,4.406629,4.4579096,4.7604513,4.699038
12,3,4.439516,4.358465,4.2811227,4.2902756,4.240262,4.1178584,4.150966,4.163533,4.296422,4.452056,4.511174,4.819037,4.765746
12,4,4.4916406,4.4212613,4.3541546,4.3704123,4.330995,4.2186766,4.2541075,4.2685857,4.399916,4.5472608,4.600959,4.8917217,4.8284016
12,5,4.4945307,4.4271736,4.3628044,4.3817515,4.347693,4.2494035,4.2951975,4.3098297,4.4342723,4.5775275,4.628137,4.918102,4.855234
12,6,4.4804044,4.4095364,4.3416386,4.359161,4.3241777,4.2339563,4.2899766,4.3042636,4.423025,4.566578,4.6158333,4.913726,4.855364
12,7,4.431664,4.366061,4.3031816,4.3222613,4.290441,4.2018695,4.25674,4.2716446,4.3929634,4.5339074,4.585103,4.8683767,4.8218737
12,8,4.438381,4.3750596,4.314437,4.333356,4.301456,4.2084775,4.254674,4.2682786,4.393259,4.536879,4.595338,4.8786983,4.8409534
