scenario,day,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
0,1,4.4249454,4.3820944,4.3365016,4.3455386,4.296743,4.1722975,4.267831,4.3056016,4.3822436,4.4891233,4.5764484,4.8533607,4.774819
0,2,4.4458957,4.405095,4.3602734,4.369208,4.318673,4.186611,4.2723813,4.302076,4.371392,4.480031,4.562026,4.8397818,4.7562447
0,3,4.428466,4.3888836,4.344469,4.3532577,4.30147,4.1642585,4.2439437,4.270097,4.341551,4.459247,4.5420856,4.8307285,4.750303
0,4,4.3944545,4.358635,4.31686,4.327511,4.2780347,4.14488,4.2313666,4.2562094,4.3201365,4.435186,4.5129437,4.806307,4.7249722
0,5,4.4282665,4.395119,4.356181,4.3696585,4.3253713,4.201004,4.285141,4.304971,4.362225,4.4732175,4.550881,4.839861,4.750271
0,6,4.449166,4.422348,4.385593,4.398564,4.3490806,4.209722,4.300036,4.3195834,4.37085,4.4890137,4.568777,4.8600698,4.7694507
0,7,4.431776,4.4051366,4.3687673,4.382203,4.3335757,4.193797,4.278291,4.298446,4.3535676,4.470932,4.5624824,4.8524837,4.7667546
0,8,4.416161,4.3934155,4.360074,4.3758917,4.3306947,4.1963806,4.2845383,4.301358,4.34879,4.4651346,4.5581617,4.8445163,4.764898
0,9,4.405767,4.384373,4.3519025,4.368227,4.3232794,4.1868505,4.267289,4.274944,4.310111,4.4241877,4.523893,4.846659,4.777592
0,10,4.438186,4.4114017,4.373832,4.385305,4.3312488,4.170859,4.2167,4.208291,4.238597,4.357592,4.4542546,4.796883,4.7347927
1,1,4.449849,4.4074802,4.361895,4.3706045,4.3205256,4.190721,4.2795005,4.319627,4.405881,4.5154734,4.593361,4.8710694,4.7970667
1,2,4.442029,4.3982277,4.351848,4.3601537,4.309807,4.1780577,4.2596054,4.3020053,4.396554,4.506364,4.591468,4.86292,4.786203
1,3,4.413905,4.371453,4.3268204,4.33708,4.2907457,4.1677356,4.254504,4.3015933,4.404508,4.5178995,4.6053605,4.879918,4.805971
