scenario,day,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
0,1,4.452587,4.4107633,4.3649817,4.373077,4.321358,4.1903367,4.2892485,4.329847,4.4112744,4.5269327,4.6214724,4.893433,4.809596
0,2,4.3663855,4.33323,4.2942133,4.307572,4.263022,4.13838,4.230903,4.2687635,4.344199,4.446084,4.530136,4.8291745,4.76229
0,3,4.4003983,4.3602343,4.3153725,4.323767,4.2711596,4.1297884,4.1999903,4.2215962,4.283645,4.389847,4.4850163,4.7757797,4.6945605
0,4,4.3691936,4.3373294,4.30039,4.316052,4.275402,4.146521,4.1929917,4.207144,4.2803493,4.391352,4.4823375,4.7613583,4.6804323
0,5,4.383616,4.3571506,4.3269753,4.349789,4.3221445,4.20361,4.204595,4.214882,4.310362,4.404565,4.4652743,4.7423162,4.6850915
0,6,4.37003,4.3425503,4.312445,4.3358865,4.309826,4.187857,4.161376,4.163223,4.268429,4.372914,4.453938,4.726568,4.6695766
0,7,4.354441,4.3333974,4.3061447,4.330164,4.3018904,4.176351,4.1743283,4.18158,4.2745566,4.375836,4.453121,4.7256126,4.664751
0,8,4.357458,4.334113,4.3040643,4.3250713,4.290842,4.153587,4.1496053,4.1588893,4.2532377,4.353812,4.4279437,4.727719,4.673755
0,9,4.3705153,4.3299494,4.288988,4.303484,4.264267,4.1290526,4.113817,4.112268,4.196956,4.294383,4.369031,4.690611,4.638414
0,10,4.3125954,4.282297,4.2463493,4.262382,4.220547,4.074021,4.072056,4.0780888,4.1635075,4.263208,4.327815,4.6510677,4.5963893
1,1,4.419136,4.3678317,4.3139663,4.315128,4.2522655,4.101748,4.189762,4.2327943,4.3271875,4.453075,4.5499187,4.836427,4.7569976
1,2,4.405228,4.3611717,4.313688,4.3205566,4.2676053,4.1399784,4.2495565,4.288403,4.3662004,4.489227,4.5605597,4.8377066,4.749399
1,3,4.5197663,4.4719467,4.420246,4.4227843,4.361655,4.2195683,4.3259144,4.3626213,4.4531775,4.6047916,4.659045,4.9505486,4.861102
1,4,4.530372,4.480874,4.4280353,4.429804,4.3677783,4.224025,4.3287587,4.3691754,4.463429,4.6104994,4.6744523,4.9631333,4.874586
1,5,4.5137296,4.4694567,4.4220066,4.429109,4.3770676,4.254093,4.373469,4.4191036,4.5044627,4.629985,4.6936064,4.9622536,4.8727803
1,6,4.395028,4.3496118,4.300993,4.306936,4.252669,4.1242805,4.2349,4.275957,4.375663,4.5309043,4.596798,4.9002047,4.806388
1,7,4.2112355,4.1685925,4.1219997,4.129587,4.078365,3.964351,4.110948,4.169017,4.29729,4.490524,4.548801,4.865379,4.7731905
1,8,4.145385,4.108354,4.0675993,4.080974,4.0405126,3.9475176,4.101065,4.1565127,4.28016,4.4730906,4.538987,4.881526,4.7914743
1,9,4.064273,4.028011,3.9889388,4.004484,3.9687448,3.8841007,4.043765,4.1198287,4.2593546,4.4266853,4.51494,4.830492,4.7392216
1,10,4.007818,3.9750347,3.938945,3.9571028,3.925826,3.8517337,4.0256276,4.108599,4.2509894,4.4153705,4.493547,4.8055215,4.7038884
2,1,4.4036546,4.360988,4.3147497,4.322679,4.271236,4.143274,4.2484136,4.29136,4.3691673,4.477696,4.5684376,4.856733,4.771275
2,2,4.4482055,4.4027042,4.354828,4.361883,4.3098464,4.1794367,4.2705092,4.3040867,4.3738227,4.480628,4.5883155,4.878378,4.7848444
2,3,4.435488,4.400993,4.36348,4.3798757,4.342618,4.221976,4.267806,4.295915,4.394277,4.5005264,4.5735254,4.8494415,4.791699
2,4,4.3884206,4.350116,4.308817,4.321601,4.277989,4.147356,4.195633,4.225388,4.3195624,4.421181,4.4915953,4.774607,4.716692
2,5,4.406556,4.3722615,4.3364563,4.3552856,4.3230658,4.2030196,4.205771,4.206664,4.3038816,4.4337525,4.5242553,4.7811775,4.7033124
2,6,4.413301,4.385949,4.3548355,4.376718,4.3473806,4.2261586,4.2247066,4.2253923,4.3239303,4.453407,4.547396,4.7948465,4.708759
2,7,4.4885297,4.4576144,4.4249024,4.446472,4.418556,4.30201,4.2956657,4.296158,4.3889666,4.498386,4.5794005,4.8212557,4.73498
2,8,4.5292034,4.4958653,4.46096,4.4805307,4.4490933,4.32465,4.3058863,4.291377,4.366668,4.4786315,4.571399,4.8227015,4.725539
2,9,4.5239654,4.4953027,4.4641643,4.4867716,4.459735,4.3405027,4.3214784,4.310707,4.3928237,4.5018067,4.581689,4.832519,4.7403245
2,10,4.643683,4.6114783,4.579968,4.6040177,4.581768,4.462753,4.392225,4.360555,4.4414635,4.53903,4.5929923,4.831936,4.751913
3,1,4.4883323,4.442456,4.3930054,4.397762,4.3401957,4.196377,4.2836385,4.3239613,4.408824,4.5223155,4.6169224,4.908944,4.8339725
3,2,4.426256,4.3845572,4.33783,4.3443174,4.288473,4.147108,4.239197,4.270963,4.333188,4.438113,4.53319,4.8552346,4.7801666
