sampled_regime,regime_0_probability,regime_1_probability,regime_2_probability,regime_3_probability
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
3,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
3,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
3,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
3,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
3,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
3,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
3,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
3,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
1,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
2,0.258305,0.27154088,0.37527013,0.09488401
0,0.258305,0.27154088,0.37527013,0.09488401
